"Int_no";"Rue_1";"Rue_2";"X";"Y"
1134;"Faillon";"Saint-Laurent";295248,;5044046,
1135;"Gaspé";"Saint-Zotique";296177,;5043737,
1136;"Gounod";"Saint-Laurent";294783,;5044242,
1137;"Guizot";"Saint-Laurent";294296,;5044442,
1138;"Jarry";"Saint-Laurent";294542,;5044340,
1139;"Jean-Talon";"Saint-Laurent";295563,;5043871,
1140;"Jean-Talon";"Waverley";295437,;5043679,
1141;"Liège";"Saint-Laurent";294058,;5044541,
1142;"Mozart";"Saint-Laurent inter. Sud";295776,;5043729,
1143;"Saint-Laurent";"Saint-Zotique inter. Sud";296042,;5043556,
1144;"Saint-Laurent";"Villeray";295026,;5044140,
1145;"Charland";"Lille";293888,;5047862,
1146;"Charland";"Papineau";293502,;5047189,
1147;"Émile-Journault";"Papineau";294368,;5046650,
1148;"Fleury";"Garnier";292739,;5047368,
1149;"Fleury";"Lille";293203,;5048270,
1150;"Fleury";"Lorimier";292998,;5047926,
1151;"Fleury";"Papineau";292825,;5047589,
1152;"Fleury";"Parthenais";293088,;5048075,
1153;"Fort-Lorette";"Henri-Bourassa";292328,;5047541,
1154;"Francis";"Henri-Bourassa";292240,;5047287,
1155;"François-H.-Prévost";"Papineau";294756,;5046409,
1156;"Gouin";"1635 Est";292194,;5047444,
1157;"Gouin";"Papineau";292304,;5047939,
1158;"Henri-Bourassa";"Larose";292973,;5049005,
1159;"Henri-Bourassa";"Lille";292734,;5048556,
1160;"Henri-Bourassa";"Lorimier";292566,;5048207,
1161;"Henri-Bourassa";"Papineau";292431,;5047826,
1162;"Henri-Bourassa";"Saint-Firmin";292535,;5048118,
1163;"Henri-Bourassa";"Sackville";292897,;5048837,
1164;"Legendre";"Papineau";294148,;5046785,
1165;"Louvain";"Papineau";293672,;5047074,
1166;"Papineau";"Prieur";292643,;5047699,
1167;"Papineau";"Sauriol";293052,;5047455,
1168;"Papineau";"Sauvé";293280,;5047320,
1169;"39 e Avenue";"Beaubien";299246,;5048055,
